state,Gender,Year,Count
CT,M,1976,15862
CT,M,1977,15993
CT,M,1978,16461
CT,M,1979,17306
CT,M,1980,17397
CT,M,1981,17831
CT,M,1982,18075
CT,M,1983,18627
CT,M,1984,19165
CT,M,1985,19931
CT,M,1986,20317
CT,M,1987,21362
CT,M,1988,21698
CT,M,1989,22156
CT,M,1990,22558
CT,M,1991,21574
CT,M,1992,20929
CT,M,1993,20333
CT,M,1994,19757
CT,M,1995,19315
CT,M,1996,19207
CT,M,1997,18458
CT,M,1998,18616
CT,M,1999,18221
CT,M,2000,18181
CT,M,2001,18005
CT,M,2002,17698
CT,M,2003,17825
CT,M,2004,17389
CT,M,2005,16775
CT,M,2006,16832
CT,M,2007,16586
CT,M,2008,16152
CT,M,2009,15293
CT,M,2010,14668
CT,M,2011,14620
CT,M,2012,14348
CT,M,2013,14293
CT,M,2014,14624
CT,M,2015,14394
CT,M,2016,14086
CT,M,2017,14015
CT,M,2018,13851
CT,M,2019,13183
DC,F,1961,13219
DC,F,1962,13067
DC,F,1963,12833
DC,F,1964,12466
DC,F,1965,11696
DC,F,1966,11010
DC,F,1967,10588
DC,F,1968,10076
DC,F,1969,10202
DC,F,1970,9973
DC,F,1971,8797
DC,F,1972,7403
DC,F,1973,6389
DC,F,1974,5849
DC,F,1975,5891
DC,F,1976,5816
DC,F,1977,6050
DC,F,1978,5531
DC,F,1979,5558
DC,F,1980,5624
DC,F,1981,5774
DC,F,1982,5740
DC,F,1983,5721
DC,F,1984,5679
DC,F,1985,5688
DC,F,1986,5639
DC,F,1987,5694
DC,F,1988,6192
DC,F,1989,1540
DC,F,1990,4646
DC,F,1991,5855
DC,F,1992,5266
DC,F,1993,5037
DC,F,1994,4636
DC,F,1995,4028
DC,F,1996,3573
DC,F,1997,3460
DC,F,1998,3514
DC,F,1999,3425
DC,F,2000,3543
DC,F,2001,3619
DC,F,2002,3488
DC,F,2003,3371
DC,F,2004,3511
DC,F,2005,3133
DC,F,2006,3293
DC,F,2007,3302
DC,F,2008,3196
DC,F,2009,3000
DC,F,2010,2972
DC,F,2011,2935
DC,F,2012,3188
DC,F,2013,3327
DC,F,2014,3461
DC,F,2015,3550
DC,F,2016,3570
DC,F,2017,3466
DC,F,2018,3036
DC,F,2019,3176
DC,M,1961,14848
DC,M,1962,14470
DC,M,1963,14680
DC,M,1964,14101
DC,M,1965,12925
DC,M,1966,12519
DC,M,1967,12263
DC,M,1968,11861
DC,M,1969,11968
DC,M,1970,12126
DC,M,1971,10791
DC,M,1972,9339
DC,M,1973,8350
DC,M,1974,7924
DC,M,1975,7674
DC,M,1976,7667
DC,M,1977,7909
DC,M,1978,7675
DC,M,1979,7895
DC,M,1980,7891
DC,M,1981,7951
DC,M,1982,7754
DC,M,1983,7556
DC,M,1984,7566
